Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA
Rammus,Tank,JUNGLE,A,55.7,7.21,54.46%,95.58%,2.60%,4.25%,3
Rek'Sai,Fighter,JUNGLE,A,48.33,0.81,50.88%,96.68%,3.39%,5.25%,2.51
Rell,Tank,SUPPORT,B,40.82,0.36,50.63%,98.53%,1.53%,0.32%,2.4
Renata Glasc,Support,SUPPORT,God,75.59,-5.43,52.35%,98.65%,8.93%,10.47%,2.8
Renekton,Fighter,TOP,B,42.37,-2.37,47.48%,85.38%,3.22%,2.41%,1.76
Renekton,Fighter,MID,C,37.57,-0.93,49.65%,12.93%,0.47%,2.41%,2.02
Rengar,Assassin,JUNGLE,S,64.88,23.17,50.57%,75.99%,8.50%,18.09%,2.22
Rengar,Assassin,TOP,B,44.87,15.24,49.36%,21.02%,2.43%,18.09%,1.76
Riven,Fighter,TOP,S,68.93,2.5,50.27%,89.92%,6.51%,3.93%,1.88
Rumble,Fighter,MID,B,45.63,-3.69,51.97%,30.12%,0.72%,0.38%,2.57
Rumble,Fighter,TOP,D,34.06,1.86,48.18%,53.32%,1.22%,0.38%,2.02
Rumble,Fighter,JUNGLE,D,33.47,-1.83,47.43%,13.45%,0.30%,0.34%,2.74
Ryze,Mage,MID,C,35.54,-6.37,44.76%,83.63%,2.61%,0.26%,2.07
Ryze,Mage,TOP,D,21.98,-1.51,45.65%,14.43%,0.44%,0.26%,1.72
Samira,Marksman,ADC,S,62.59,3.75,52.01%,97.22%,9.53%,16.45%,2.3
Sejuani,Tank,JUNGLE,A,49.04,-3.92,51.84%,77.04%,1.94%,0.28%,3.14
Sejuani,Tank,TOP,B,41.27,7.81,52.27%,16.30%,0.35%,0.28%,2.45
Senna,Marksman,SUPPORT,God,74.77,0.92,51.94%,92.55%,9.71%,5.40%,2.63
Seraphine,Mage,SUPPORT,B,44.72,-2.19,48.85%,69.73%,3.60%,0.95%,2.43
Seraphine,Mage,MID,B,41.86,2.79,50.08%,13.66%,0.64%,1.01%,2.59
Seraphine,Mage,ADC,B,41.56,-1.13,53.18%,16.25%,0.76%,0.95%,2.82
Sett,Fighter,TOP,God,76.05,-3.79,50.69%,80.41%,7.43%,7.28%,1.73
Sett,Fighter,SUPPORT,C,35.96,11.25,50.20%,10.80%,0.77%,7.28%,2.06
Shaco,Assassin,JUNGLE,S,60.72,-1.84,50.40%,84.72%,6.56%,18.53%,2.65
Shaco,Assassin,SUPPORT,C,36.05,4.66,49.08%,11.12%,0.97%,19.43%,2.26
Shen,Tank,TOP,S,66.94,-3.82,52.49%,86.68%,4.23%,1.12%,2.9
Shyvana,Fighter,JUNGLE,A,51.06,4.76,52.79%,87.82%,2.68%,0.74%,2.77
Shyvana,Fighter,TOP,C,37.99,-0.25,52.00%,10.20%,0.32%,0.74%,2.08
Singed,Tank,TOP,A,47.47,4.47,53.18%,68.80%,1.71%,0.47%,1.94
Singed,Tank,MID,B,46.41,-6,52.92%,18.20%,0.41%,0.47%,2.57
Sion,Tank,TOP,A,58.7,1.32,50.26%,81.72%,5.48%,2.40%,1.37
Sivir,Marksman,ADC,C,38.95,-0.72,51.29%,94.85%,2.62%,0.57%,2.39
Skarner,Fighter,JUNGLE,B,41.68,1.92,51.02%,74.89%,0.72%,0.15%,2.71
Skarner,Fighter,TOP,D,30.7,1.68,48.75%,21.28%,0.16%,0.15%,2.21
Sona,Support,SUPPORT,A,55.09,5.79,53.18%,96.17%,3.51%,0.47%,2.9
Soraka,Support,SUPPORT,God,72.46,7.74,53.56%,92.00%,7.99%,6.25%,2.73
Swain,Mage,SUPPORT,B,45.27,8.34,51.61%,63.94%,2.32%,1.30%,2.31
Swain,Mage,MID,B,45.09,1.33,52.28%,15.09%,0.37%,1.19%,2.57
Swain,Mage,ADC,B,41.34,0.78,53.20%,19.08%,0.44%,1.30%,2.9
Sylas,Mage,MID,S,61.67,0.91,50.56%,78.77%,6.84%,3.98%,2.11
Sylas,Mage,TOP,C,36.09,0.2,49.74%,13.32%,1.11%,3.98%,1.87
Syndra,Mage,MID,B,42.87,-4.04,47.91%,87.41%,2.94%,1.06%,2.11
Tahm Kench,Support,TOP,A,46.71,-3.75,50.40%,55.51%,2.04%,2.82%,2.42
Tahm Kench,Support,SUPPORT,C,35.07,-2.62,48.38%,36.02%,1.14%,2.82%,2.4
Taliyah,Mage,MID,C,39.4,1.59,50.19%,16.02%,0.30%,0.18%,2.29
Taliyah,Mage,SUPPORT,C,38.95,5.19,52.32%,19.37%,0.33%,0.18%,2.15
Taliyah,Mage,JUNGLE,C,37.54,-1.01,48.74%,60.66%,1.18%,0.21%,2.56
Talon,Assassin,MID,A,49.39,1.36,51.03%,55.60%,3.00%,2.41%,2.15
Talon,Assassin,JUNGLE,B,43.84,4.61,50.67%,41.20%,2.23%,2.41%,2.44
Taric,Support,SUPPORT,B,42.1,7.09,51.09%,88.38%,1.19%,0.21%,2.74
Teemo,Marksman,TOP,S,64.74,-5.15,50.80%,78.22%,5.36%,9.36%,1.65
Thresh,Support,SUPPORT,A,56.08,-5.71,45.84%,98.27%,8.43%,3.13%,2.4
Tristana,Marksman,ADC,B,44.65,-3.41,50.58%,86.82%,5.63%,3.17%,2.26
Trundle,Fighter,JUNGLE,A,49.5,-5.43,51.62%,66.28%,3.18%,2.60%,2.63
Trundle,Fighter,TOP,C,39.21,-1.83,51.12%,28.96%,1.42%,2.60%,1.63
Tryndamere,Fighter,TOP,A,60.09,-33.16,49.22%,84.16%,4.70%,19.06%,1.74
Tryndamere,Fighter,MID,B,41.55,0,51.60%,10.11%,0.51%,19.06%,1.98
Twisted Fate,Mage,MID,B,44.17,1.83,48.33%,89.28%,3.05%,0.43%,2.14
Twitch,Marksman,ADC,A,49.02,-1.31,51.80%,76.95%,5.90%,5.01%,2.35
Udyr,Fighter,JUNGLE,B,43.32,-0.43,50.30%,93.12%,2.05%,0.67%,2.6
Urgot,Fighter,TOP,A,56.93,0.9,53.50%,90.56%,3.20%,2.19%,1.95
Varus,Marksman,ADC,D,30.39,1.37,48.52%,88.11%,2.14%,0.17%,2.27
Vayne,Marksman,ADC,S,60.48,-3.72,50.92%,79.15%,10.22%,15.75%,2.09
Vayne,Marksman,TOP,B,42.12,1.11,49.95%,18.68%,2.19%,15.75%,1.5
Veigar,Mage,MID,S,68.67,-1.86,51.92%,73.29%,7.42%,9.16%,2.3
Veigar,Mage,ADC,B,41.6,-2.86,53.18%,16.91%,1.62%,9.16%,2.46
Vel'Koz,Mage,SUPPORT,B,42.54,6.69,51.68%,61.82%,1.64%,0.56%,2.22
Vel'Koz,Mage,MID,B,41.44,-2.29,49.58%,32.88%,0.88%,0.56%,2.54
Vex,Mage,MID,S,63.46,1.53,50.40%,91.30%,6.68%,9.62%,2.34
Vi,Fighter,JUNGLE,A,51.15,-2.98,51.62%,93.13%,4.33%,1.60%,2.36
Viego,Assassin,JUNGLE,God,70.16,0.18,49.32%,94.58%,11.63%,10.16%,2.38
Viktor,Mage,MID,S,60.37,-1.34,51.26%,92.17%,5.90%,3.78%,2.23
Vladimir,Mage,MID,A,51.72,0.23,50.42%,71.83%,3.70%,5.80%,2.28
Vladimir,Mage,TOP,C,37,2.43,49.58%,26.19%,1.18%,5.80%,1.97
Volibear,Fighter,JUNGLE,S,63.74,6.22,53.11%,63.85%,6.75%,4.66%,2.77
Volibear,Fighter,TOP,A,49.49,-0.73,49.20%,33.86%,3.78%,4.66%,1.7
Warwick,Fighter,JUNGLE,A,53.92,1.79,51.93%,74.84%,5.03%,5.14%,2.22
Warwick,Fighter,TOP,B,40.72,3.33,51.72%,23.04%,1.15%,5.14%,1.84
Wukong,Fighter,TOP,C,39.87,-1.8,49.35%,74.86%,1.76%,0.54%,2.04
Wukong,Fighter,JUNGLE,D,34.22,1.39,48.59%,16.45%,0.38%,0.56%,2.41
Xayah,Marksman,ADC,S,62.38,16.48,51.01%,95.57%,11.55%,4.61%,2.31
Xerath,Mage,MID,A,48.13,-2.01,49.99%,39.09%,2.06%,3.39%,2.88
Xerath,Mage,SUPPORT,B,46.23,3.3,50.09%,55.57%,3.22%,3.39%,2.45
Xin Zhao,Fighter,JUNGLE,B,44.86,-5.39,49.15%,92.09%,4.02%,2.50%,2.27
Yasuo,Fighter,MID,God,85.59,-2.28,50.58%,67.92%,11.07%,24.46%,1.71
Yasuo,Fighter,TOP,B,46.02,-1.28,49.86%,16.26%,2.50%,24.46%,1.47
Yasuo,Fighter,ADC,C,36.02,-1.85,50.90%,14.61%,2.30%,24.46%,1.95
Yone,Assassin,MID,S,68.37,-3.26,49.82%,59.59%,8.18%,17.99%,1.81
Yone,Assassin,TOP,S,61.9,-6.19,50.63%,36.90%,4.66%,17.99%,1.65
Yorick,Fighter,TOP,A,53.65,6.73,53.70%,95.16%,2.97%,3.43%,1.56
Yuumi,Support,SUPPORT,God,93.63,-0.52,49.57%,98.58%,10.96%,26.70%,4.03
Zac,Tank,JUNGLE,A,59.38,-0.32,52.05%,84.84%,4.74%,3.46%,3.46
Zed,Assassin,MID,God,79.98,-1.13,49.68%,69.62%,8.30%,35.15%,2.2
Zed,Assassin,JUNGLE,B,44.19,-1.45,47.85%,26.14%,2.93%,35.15%,2.43
Zeri,Marksman,ADC,S,60.36,-24.51,48.67%,92.26%,9.82%,25.19%,2.28
Ziggs,Mage,MID,B,42.39,-0.21,50.88%,28.49%,0.86%,0.48%,2.26
Ziggs,Mage,ADC,B,40.06,2.37,52.61%,63.93%,1.80%,0.45%,2.43
Zilean,Support,MID,A,53.12,1.86,53.59%,21.37%,0.85%,2.85%,3.31
Zilean,Support,SUPPORT,B,45.11,0.32,49.28%,73.07%,2.79%,2.85%,2.91
Zoe,Mage,MID,A,48.26,-1.19,49.69%,90.75%,2.97%,1.24%,2.46
Zyra,Mage,SUPPORT,A,47.61,2,51.57%,89.72%,3.26%,2.10%,2.1
Aatrox,Fighter,TOP,S,75.02,3.47,49.34%,92.82%,7.26%,5.47%,1.87
Ahri,Mage,MID,God,92.34,-2.35,51.92%,94.13%,13.77%,16.33%,2.5
Akali,Assassin,MID,S,66.08,0.02,50.03%,64.33%,7.60%,17.69%,2.27
Akali,Assassin,TOP,A,52.51,-3.66,47.66%,34.76%,3.78%,17.69%,1.96
Akshan,Marksman,MID,A,50.97,-2.92,50.98%,59.83%,3.27%,10.74%,2.18
Akshan,Marksman,TOP,B,41.91,-0.86,50.94%,30.40%,1.57%,10.74%,1.88
Alistar,Tank,SUPPORT,A,47.58,3.2,50.18%,95.39%,3.52%,0.83%,2.47
Amumu,Tank,JUNGLE,D,30.47,-12.48,47.02%,83.29%,2.47%,1.06%,2.4
Amumu,Tank,SUPPORT,D,26.89,-6.93,46.74%,13.70%,0.31%,1.12%,1.95
Anivia,Mage,MID,A,52.83,-0.07,52.93%,76.51%,2.46%,2.73%,2.52
Anivia,Mage,SUPPORT,C,31.61,4.72,48.35%,15.26%,0.43%,2.73%,2.17
Annie,Mage,MID,B,44.77,-2.68,50.37%,80.43%,1.80%,0.77%,2.24
Annie,Mage,SUPPORT,D,28.64,3.72,47.56%,12.04%,0.26%,0.86%,2.01
Aphelios,Marksman,ADC,D,28.85,-2.02,46.02%,97.18%,5.45%,1.06%,1.9
Ashe,Marksman,ADC,A,48.23,0.07,51.09%,77.08%,6.45%,1.13%,2.33
Ashe,Marksman,SUPPORT,B,38.13,1.59,49.38%,18.43%,1.45%,1.13%,2.35
Aurelion Sol,Mage,MID,B,45.29,1.37,51.68%,87.94%,0.91%,0.34%,2.41
Azir,Mage,MID,B,38.89,-0.43,47.67%,86.75%,1.80%,0.33%,2.05
Bard,Support,SUPPORT,B,45.72,4.03,49.90%,96.28%,2.66%,0.48%,2.86
Blitzcrank,Tank,SUPPORT,S,67.11,-2.23,50.53%,98.32%,7.34%,18.38%,2.43
Brand,Mage,SUPPORT,A,48.84,0.16,51.27%,72.15%,3.88%,5.83%,1.77
Brand,Mage,MID,B,42.17,2.76,51.19%,14.99%,0.84%,6.35%,1.96
Braum,Support,SUPPORT,B,39.89,-2.96,48.38%,98.01%,2.03%,0.34%,2.75
Caitlyn,Marksman,ADC,A,56.68,2.9,48.00%,96.38%,10.85%,8.05%,2.13
Camille,Fighter,TOP,S,65.86,2.32,50.53%,94.71%,5.52%,4.03%,1.88
Cassiopeia,Mage,MID,B,46.42,1.17,51.68%,73.08%,1.88%,1.48%,2.05
Cassiopeia,Mage,ADC,C,34.82,3.74,54.17%,11.54%,0.28%,1.47%,2.28
Cassiopeia,Mage,TOP,D,30.45,-7.52,49.66%,14.58%,0.43%,1.48%,1.85
Cho'Gath,Tank,TOP,A,47.27,-1.4,50.92%,64.97%,2.38%,0.97%,2.08
Cho'Gath,Tank,MID,A,46.99,2.01,53.07%,22.00%,0.62%,0.97%,2.42
Corki,Marksman,MID,B,38.09,-1.42,46.69%,89.86%,2.11%,0.52%,2.05
Darius,Fighter,TOP,God,91.01,-0.61,50.07%,92.12%,8.08%,19.65%,1.79
Diana,Fighter,JUNGLE,God,84.84,11.09,51.63%,83.04%,9.58%,12.83%,2.47
Diana,Fighter,MID,A,50.12,3.2,53.42%,15.36%,1.71%,12.83%,2.14
Dr. Mundo,Marksman,TOP,B,45.19,-0.5,50.58%,84.95%,2.19%,1.54%,2.05
Draven,Fighter,ADC,B,43.79,1.46,50.39%,94.27%,5.68%,10.50%,2.05
Ekko,Assassin,JUNGLE,A,57.5,0.06,50.56%,65.79%,5.51%,3.99%,2.68
Ekko,Assassin,MID,B,45.15,-2.98,49.20%,31.91%,2.67%,3.99%,2.17
Elise,Mage,JUNGLE,C,35.61,-8.15,49.96%,91.41%,1.79%,0.94%,2.52
Evelynn,Assassin,JUNGLE,B,44.94,-0.63,49.25%,98.28%,3.51%,6.21%,2.78
Ezreal,Marksman,ADC,S,75.07,9.42,48.93%,95.23%,15.78%,3.63%,2.3
Fiddlesticks,Mage,JUNGLE,B,41.31,-4.5,50.04%,90.55%,2.75%,1.95%,2.61
Fiora,Fighter,TOP,God,77.37,3.69,50.80%,97.02%,6.54%,14.49%,1.7
Fizz,Assassin,MID,A,55.23,-0.13,52.14%,94.13%,3.82%,5.48%,2.39
Galio,Tank,MID,A,49.52,-1.74,51.93%,63.58%,1.87%,0.41%,2.6
Galio,Tank,SUPPORT,C,33.6,-0.41,48.23%,34.90%,1.01%,0.42%,2.21
Gangplank,Fighter,TOP,God,84.26,24.04,47.56%,86.26%,8.67%,10.58%,1.93
Gangplank,Fighter,MID,B,40.99,5.18,49.04%,12.58%,1.38%,10.58%,2.13
Garen,Fighter,TOP,S,72.94,4.4,51.11%,85.32%,6.34%,3.36%,1.97
Gnar,Fighter,TOP,B,45.91,-7.32,47.58%,95.86%,3.70%,0.89%,1.81
Gragas,Fighter,MID,B,43.05,2.41,51.24%,11.25%,0.42%,0.39%,2.41
Gragas,Fighter,TOP,C,36.88,-3.78,47.09%,55.62%,2.21%,0.44%,2.01
Gragas,Fighter,SUPPORT,D,29.65,1.62,47.36%,11.81%,0.40%,0.44%,2.21
Gragas,Fighter,JUNGLE,D,27.75,-8.42,48.58%,20.80%,0.71%,0.44%,2.69
Graves,Marksman,JUNGLE,God,77.19,14.69,50.41%,70.15%,9.01%,8.50%,2.57
Graves,Marksman,TOP,A,48.9,2.02,50.49%,23.54%,2.97%,8.50%,1.69
Gwen,Fighter,TOP,B,43.94,11.02,48.75%,75.85%,3.03%,1.64%,1.73
Gwen,Fighter,JUNGLE,D,29.67,2.51,50.21%,20.07%,0.73%,1.64%,2.32
Hecarim,Fighter,JUNGLE,B,40.36,-9.61,47.34%,97.99%,3.76%,5.27%,2.68
Heimerdinger,Mage,MID,B,40.85,-3.33,50.79%,38.87%,0.86%,0.99%,1.87
Heimerdinger,Mage,SUPPORT,C,35.38,0.81,51.22%,11.94%,0.22%,0.99%,1.86
Heimerdinger,Mage,ADC,C,31.56,-5.91,53.45%,19.36%,0.30%,0.92%,2.09
Heimerdinger,Mage,TOP,D,30.55,-1.21,49.95%,33.05%,0.69%,0.99%,1.55
Illaoi,Fighter,TOP,A,47.46,-0.44,51.00%,93.58%,3.05%,4.57%,1.38
Irelia,Fighter,TOP,God,80.08,-0.19,49.63%,55.40%,6.69%,23.33%,1.58
Irelia,Fighter,MID,A,55.75,-0.42,49.79%,42.86%,5.20%,23.33%,1.75
Ivern,Support,JUNGLE,C,36.15,-2.95,49.59%,76.23%,1.09%,0.40%,3.27
Ivern,Support,SUPPORT,D,23.18,-3.66,44.27%,13.04%,0.18%,0.37%,2.35
Janna,Support,SUPPORT,A,57.48,-4.49,51.76%,97.66%,4.60%,1.58%,3.06
Jarvan IV,Tank,JUNGLE,A,51.86,2.07,49.84%,92.19%,4.18%,0.57%,3.24
Jax,Fighter,TOP,God,77.92,1.45,51.33%,83.80%,6.91%,10.28%,1.6
Jax,Fighter,JUNGLE,D,24.03,-18.32,47.71%,14.11%,1.17%,9.65%,2.07
Jayce,Fighter,TOP,B,41.75,-14.43,46.98%,81.01%,3.43%,1.05%,1.65
Jayce,Fighter,MID,B,38.8,-1.58,49.53%,16.88%,0.68%,1.05%,2.02
Jhin,Marksman,ADC,S,75.03,1.92,50.19%,97.61%,13.68%,3.56%,2.79
Jinx,Marksman,ADC,God,93.32,0.24,50.73%,98.75%,19.23%,6.83%,2.26
Kai'Sa,Marksman,ADC,S,67.52,0.25,49.11%,76.22%,12.94%,6.16%,2.35
Kai'Sa,Marksman,MID,B,44.53,-7.25,46.90%,22.21%,3.84%,6.16%,2.11
Kalista,Marksman,ADC,D,27.35,-3.61,48.02%,89.09%,2.80%,0.62%,2.2
Karma,Mage,SUPPORT,S,66.82,0.32,48.98%,84.75%,8.88%,5.59%,2.67
Karthus,Mage,JUNGLE,A,47.07,9.47,48.88%,72.55%,4.22%,8.57%,2.49
Karthus,Mage,ADC,C,33.63,-6.29,52.84%,14.57%,1.00%,8.57%,2.18
Kassadin,Assassin,MID,A,48.67,-4.62,49.79%,96.05%,3.14%,8.37%,2.27
Katarina,Assassin,MID,S,67.24,2.25,48.98%,93.76%,9.35%,10.65%,2.17
Kayle,Fighter,TOP,S,60.23,0.88,52.88%,76.95%,4.02%,1.75%,1.8
Kayle,Fighter,MID,A,49.44,5.8,54.31%,19.90%,1.02%,1.75%,2.22
Kayn,Fighter,JUNGLE,God,84.63,16.98,50.38%,96.73%,10.40%,12.20%,2.35
Kennen,Mage,MID,B,44.66,-1.7,52.29%,16.99%,0.42%,0.66%,2.36
Kennen,Mage,TOP,B,41.22,1.99,49.76%,79.04%,2.01%,0.66%,1.94
Kha'Zix,Assassin,JUNGLE,S,72.24,10.43,50.77%,98.29%,8.14%,7.97%,2.52
Kindred,Marksman,JUNGLE,A,49.22,0.04,51.37%,92.08%,4.08%,3.53%,2.22
Kled,Fighter,MID,A,50.8,0,55.12%,10.42%,0.16%,0.86%,2.72
Kled,Fighter,TOP,B,39.2,-3.95,49.41%,85.34%,1.49%,0.82%,2.22
Kog'Maw,Marksman,ADC,C,34.43,-0.21,52.01%,86.89%,1.91%,0.41%,2.22
LeBlanc,Assassin,MID,A,50.16,-3.99,47.17%,93.35%,4.55%,8.16%,2.6
Lee Sin,Fighter,JUNGLE,God,88.78,-1.18,46.47%,93.51%,12.58%,12.87%,2.55
Leona,Tank,SUPPORT,A,58.72,-0.58,49.01%,98.34%,6.98%,9.40%,2.29
Lillia,Fighter,JUNGLE,A,57.86,16.76,52.00%,81.60%,4.87%,1.67%,2.74
Lillia,Fighter,TOP,B,39.56,-0.27,51.83%,14.27%,0.85%,1.67%,2.05
Lissandra,Mage,MID,A,47.03,-1.47,50.28%,90.68%,2.48%,0.76%,2.33
Lucian,Marksman,ADC,God,81.67,11.82,51.85%,85.31%,14.71%,8.54%,2.32
Lulu,Support,SUPPORT,God,78.24,-2.88,49.90%,95.17%,9.60%,18.05%,2.94
Lux,Mage,SUPPORT,God,77.2,-2.51,48.88%,64.54%,11.05%,11.07%,2.36
Lux,Mage,MID,S,61.11,0.26,51.45%,31.84%,5.09%,11.07%,2.76
Malphite,Tank,TOP,S,62.72,-3.32,51.35%,71.48%,4.26%,4.19%,2.32
Malphite,Tank,MID,B,44.66,8.49,51.52%,12.53%,0.70%,4.19%,2.44
Malphite,Tank,SUPPORT,D,29.71,-0.91,47.00%,12.78%,0.80%,4.23%,2.06
Malzahar,Mage,MID,A,53.53,1.38,53.41%,90.22%,2.99%,3.32%,2.16
Maokai,Tank,SUPPORT,C,36.22,-4.83,49.34%,73.66%,1.27%,0.15%,2.1
Maokai,Tank,TOP,C,31.3,-2.55,49.66%,19.02%,0.34%,0.16%,2.05
Master Yi,Assassin,JUNGLE,S,76.51,12.56,51.50%,92.17%,7.38%,19.30%,1.96
Miss Fortune,Marksman,ADC,God,79.12,6.7,50.70%,93.74%,15.61%,4.05%,2.26
Mordekaiser,Fighter,TOP,S,69.31,-0.28,50.32%,82.13%,5.95%,7.09%,1.79
Mordekaiser,Fighter,JUNGLE,C,33.72,-8.22,51.53%,11.14%,0.87%,7.68%,2.25
Morgana,Mage,SUPPORT,S,70.5,0.69,49.52%,87.89%,7.40%,26.17%,2.45
Nami,Support,SUPPORT,God,84.32,5.65,52.58%,99.41%,11.36%,2.92%,3.22
Nasus,Fighter,TOP,A,54.98,-0.99,50.63%,75.07%,3.87%,3.83%,1.82
Nautilus,Tank,SUPPORT,God,84.06,0.14,50.74%,97.73%,11.56%,16.34%,2.35
Neeko,Mage,MID,A,49.27,0.37,52.18%,49.47%,2.16%,0.67%,2.28
Neeko,Mage,SUPPORT,C,37.88,1.93,50.95%,20.00%,0.89%,0.70%,2.03
Neeko,Mage,TOP,D,30.81,0,49.38%,21.49%,0.68%,0.67%,1.77
Nidalee,Assassin,JUNGLE,A,54.57,1.8,49.07%,89.52%,5.37%,4.58%,2.83
Nocturne,Assassin,JUNGLE,S,67.01,5.78,52.70%,94.39%,6.13%,5.43%,2.7
Nunu,Tank,JUNGLE,B,45.42,-1.62,50.55%,87.77%,3.07%,1.52%,2.79
Olaf,Fighter,JUNGLE,D,23.55,-14.06,47.15%,81.06%,1.30%,0.77%,2.19
Olaf,Fighter,TOP,D,12.18,-8.19,43.27%,19.13%,0.32%,0.84%,1.45
Orianna,Mage,MID,B,44.24,-1.91,48.42%,92.09%,2.42%,0.18%,2.48
Ornn,Tank,TOP,S,64.57,7.19,52.17%,92.91%,4.49%,0.72%,2.25
Pantheon,Fighter,MID,A,47.22,2.08,51.99%,26.74%,1.67%,1.56%,2.23
Pantheon,Fighter,TOP,B,39.6,4.88,50.38%,21.87%,1.37%,1.56%,2.07
Pantheon,Fighter,SUPPORT,C,34.35,2.78,46.21%,44.24%,2.81%,1.56%,1.9
Poppy,Tank,TOP,B,40.62,-1.63,51.15%,32.88%,1.23%,1.69%,2.08
Poppy,Tank,JUNGLE,C,36.33,-9.59,49.36%,58.17%,2.21%,1.69%,2.55
Pyke,Support,SUPPORT,God,88.94,1.6,49.67%,84.45%,12.55%,22.23%,2.17
Pyke,Support,MID,A,52.49,-1.35,52.47%,11.90%,1.77%,22.23%,2.76
Qiyana,Assassin,MID,A,50.4,0.04,49.34%,68.60%,4.41%,6.24%,2.02
Qiyana,Assassin,JUNGLE,C,31.67,-3.57,48.86%,26.80%,1.67%,6.24%,2.36
Quinn,Marksman,TOP,B,40.9,-2.81,50.50%,81.44%,1.81%,0.99%,1.83
Rakan,Support,SUPPORT,A,56.54,2.9,49.75%,98.31%,5.85%,0.36%,2.86
Rammus,Tank,JUNGLE,A,46.56,-9.14,51.27%,95.07%,2.70%,4.52%,2.9
Rek'Sai,Fighter,JUNGLE,A,47.57,-0.76,51.05%,96.15%,3.44%,6.52%,2.48
Rell,Tank,SUPPORT,B,42.91,2.09,51.63%,98.27%,1.44%,0.27%,2.4
Renata Glasc,Support,SUPPORT,S,73.49,-2.11,53.00%,98.86%,7.95%,9.66%,2.83
Renekton,Fighter,TOP,B,41.14,-1.23,47.50%,83.52%,3.01%,2.34%,1.73
Renekton,Fighter,MID,B,38.7,1.13,49.75%,14.57%,0.49%,2.34%,2.03
Rengar,Assassin,JUNGLE,S,70.59,5.71,49.95%,80.18%,7.56%,19.02%,2.21
Rengar,Assassin,TOP,B,39.59,-5.28,49.51%,16.65%,1.61%,19.02%,1.8
Riven,Fighter,TOP,S,72.02,3.09,51.07%,89.41%,6.20%,4.61%,1.9
Rumble,Fighter,MID,A,49.07,3.44,53.65%,27.49%,0.71%,0.38%,2.58
Rumble,Fighter,TOP,C,34.84,0.78,48.78%,54.85%,1.24%,0.38%,2.04
Rumble,Fighter,JUNGLE,D,23.29,-10.18,47.53%,14.46%,0.35%,0.38%,2.7
Ryze,Mage,MID,C,31.47,-4.08,43.53%,82.05%,2.02%,0.19%,1.92
Ryze,Mage,TOP,D,15.94,-6.04,44.18%,14.90%,0.36%,0.20%,1.64
Samira,Marksman,ADC,S,71.09,8.5,51.59%,97.51%,10.71%,18.88%,2.27
Sejuani,Tank,JUNGLE,B,42.43,-6.6,50.77%,75.68%,1.84%,0.25%,3.2
Sejuani,Tank,TOP,C,37.37,-3.9,51.23%,17.08%,0.37%,0.27%,2.36
Senna,Marksman,SUPPORT,God,78.16,3.39,51.64%,91.94%,10.71%,5.84%,2.58
Seraphine,Mage,SUPPORT,B,42.31,-2.41,47.85%,68.99%,3.52%,0.90%,2.36
Seraphine,Mage,MID,B,41.13,-0.73,49.43%,12.90%,0.61%,0.96%,2.55
Seraphine,Mage,ADC,B,39.27,-2.29,53.59%,18.27%,0.77%,0.90%,2.8
Sett,Fighter,TOP,S,75.84,-0.21,49.04%,80.32%,7.41%,7.70%,1.7
Sett,Fighter,SUPPORT,D,30.42,-5.54,47.47%,10.51%,0.82%,7.70%,1.97
Shaco,Assassin,JUNGLE,S,67.4,6.68,50.51%,83.41%,6.20%,18.24%,2.73
Shaco,Assassin,SUPPORT,B,38.42,2.36,49.94%,12.45%,1.00%,19.18%,2.32
Shen,Tank,TOP,S,65.82,-1.12,51.69%,84.92%,4.14%,1.02%,2.86
Shen,Tank,SUPPORT,C,32.68,0,47.74%,10.79%,0.47%,1.03%,2.64
Shyvana,Fighter,JUNGLE,A,50.52,-0.54,52.77%,87.12%,2.89%,0.88%,2.84
Shyvana,Fighter,TOP,C,33.11,-4.87,50.46%,10.28%,0.34%,0.93%,2.05
Singed,Tank,MID,A,48.35,1.94,53.71%,14.69%,0.35%,0.38%,2.62
Singed,Tank,TOP,C,36.99,-10.48,48.92%,70.20%,1.73%,0.43%,1.86
Sion,Tank,TOP,S,76.77,18.07,49.75%,83.87%,8.09%,4.88%,1.28
Sivir,Marksman,ADC,B,39.55,0.6,51.84%,95.70%,3.08%,0.83%,2.42
Skarner,Fighter,JUNGLE,C,35.43,-6.25,51.45%,74.27%,0.66%,0.15%,2.75
Skarner,Fighter,TOP,D,28.07,-2.63,48.12%,21.57%,0.15%,0.15%,2.25
Sona,Support,SUPPORT,A,54.78,-0.31,52.66%,96.87%,3.59%,0.49%,2.88
Soraka,Support,SUPPORT,S,74.66,2.2,53.69%,92.82%,8.13%,8.10%,2.78
Swain,Mage,MID,B,45.24,0.15,52.05%,15.24%,0.54%,1.48%,2.48
Swain,Mage,SUPPORT,C,36.7,-8.56,47.02%,58.27%,2.62%,1.37%,2.19
Swain,Mage,ADC,D,30.56,-10.78,50.84%,19.22%,0.48%,1.37%,2.68
Sylas,Mage,MID,A,58.5,-3.17,49.89%,80.40%,6.78%,3.97%,2.09
Sylas,Mage,TOP,C,34.33,-1.76,49.75%,12.38%,1.00%,3.97%,1.84
Syndra,Mage,MID,B,42.39,-0.48,47.62%,84.25%,2.93%,1.17%,2.08
Tahm Kench,Support,TOP,B,46.44,-0.27,50.95%,52.17%,1.87%,2.37%,2.37
